"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.956677445E0,7.904052734E0,-2.059936523E0,7.836914062E0
5.976666459E0,8.602905273E0,-2.748107910E0,6.416320801E0
5.996655473E0,6.437683105E0,-3.454589844E0,6.428527832E0
6.016644486E0,8.462524414E0,-2.584838867E0,5.165100098E0
6.036633500E0,9.194946289E0,-1.887512207E0,5.870056152E0
6.056988724E0,8.497619629E0,1.968383789E-1,6.556701660E0
6.076642045E0,9.552001953E0,-9.710693359E0,7.794189453E0
6.096600541E0,1.027984619E1,-9.709167480E0,8.506774902E0
6.116589555E0,1.028442383E1,-9.013366699E0,8.497619629E0
6.136609086E0,1.029357910E1,-9.014892578E0,9.211730957E0
6.156598099E0,1.098785400E1,-1.039886475E1,7.801818848E0
6.176556596E0,9.552001953E0,-9.710693359E0,7.794189453E0
6.196545609E0,1.028442383E1,-1.040802002E1,9.231567383E0
6.216870316E0,1.026306152E1,-9.704589844E0,7.078552246E0
6.236645707E0,8.818054199E0,-1.040802002E1,7.089233398E0
6.256512650E0,1.025848389E1,-1.040039062E1,7.087707520E0
6.276532181E0,1.098327637E1,-1.109619141E1,7.810974121E0
6.296490678E0,8.813476562E0,-1.110534668E1,7.098388672E0
6.316479691E0,1.026763916E1,-9.008789062E0,7.069396973E0
6.336499223E0,1.195831299E1,-7.795715332E0,7.420349121E0
6.356488236E0,9.819030762E0,-8.509826660E0,9.574890137E0
6.376812943E0,9.831237793E0,-6.420898438E0,9.547424316E0
6.396679887E0,5.870056152E0,-5.329895020E0,6.173706055E0
6.416424760E0,7.302856445E0,-6.715393066E0,6.190490723E0
6.436444291E0,6.608581543E0,-5.329895020E0,7.601928711E0
6.456402787E0,6.608581543E0,-5.329895020E0,7.601928711E0
6.476391801E0,7.350158691E0,-4.635620117E0,9.020996094E0
6.496380814E0,8.070373535E0,-1.841735840E0,7.553100586E0
6.516369828E0,7.345581055E0,-2.540588379E0,7.563781738E0
6.536358842E0,6.625366211E0,-2.545166016E0,7.565307617E0
6.556653031E0,6.634521484E0,-2.546691895E0,8.279418945E0
6.576367387E0,5.184936523E0,-2.552795410E0,7.566833496E0
6.596325883E0,7.376098633E0,-1.852416992E0,9.696960449E0
6.616314896E0,9.518432617E0,-4.409790039E-1,7.533264160E0
6.636303910E0,6.642150879E0,2.410888672E-1,7.527160645E0
6.656323441E0,7.345581055E0,-1.145935059E0,6.831359863E0
6.676281937E0,6.765747070E0,-6.973266602E-1,7.769775391E0
6.696270951E0,7.478332520E0,-2.087402344E0,7.788085938E0
6.716626176E0,5.258178711E0,-4.187011719E0,6.623840332E0
6.736310014E0,5.265808105E0,-1.399230957E0,5.871582031E0
6.756268510E0,5.995178223E0,-1.397705078E0,6.585693359E0
6.776257523E0,7.423400879E0,-3.479003906E0,6.611633301E0
6.796216019E0,6.745910645E0,-3.494262695E0,1.018371582E1
6.816205033E0,6.729125977E0,-2.095031738E0,8.023071289E0
6.836194047E0,7.449340820E0,-2.090454102E0,8.021545410E0
6.856183060E0,6.703186035E0,-3.483581543E0,6.613159180E0
6.876507767E0,6.004333496E0,-2.795410156E0,8.032226562E0
6.896313676E0,6.689453125E0,-2.781677246E0,5.174255371E0
6.916211137E0,7.427978516E0,-2.783203125E0,6.602478027E0
6.936200150E0,5.978393555E0,-2.787780762E0,5.889892578E0
6.956158646E0,5.978393555E0,-2.787780762E0,5.889892578E0
6.976117142E0,5.978393555E0,-2.787780762E0,5.889892578E0
6.996106156E0,5.978393555E0,-2.787780762E0,5.889892578E0
7.016095170E0,8.053588867E0,-3.161621094E0,9.178161621E0
7.036419877E0,8.665466309E0,-2.365112305E0,9.835815430E0
7.056317338E0,8.665466309E0,-2.365112305E0,9.835815430E0
7.076062211E0,8.665466309E0,-2.365112305E0,9.835815430E0
7.096081742E0,7.936096191E0,-3.762817383E0,9.855651855E0
7.116040238E0,7.957458496E0,-1.675415039E0,1.054229736E1
7.136029252E0,7.966613770E0,-3.073120117E0,1.199035645E1
7.156048783E0,7.246398926E0,-3.076171875E0,1.199035645E1
7.176007279E0,7.954406738E0,-3.767395020E0,1.128540039E1
7.196026810E0,7.234191895E0,-3.770446777E0,1.128540039E1
7.216290482E0,7.958984375E0,-4.466247559E0,1.200866699E1
7.236004838E0,6.530761719E0,-5.174255371E0,1.344909668E1
7.255963334E0,7.241821289E0,-3.773498535E0,1.199951172E1
7.275952348E0,6.504821777E0,-5.166625977E0,1.130523682E1
7.295941361E0,7.238769531E0,-5.863952637E0,1.274261475E1
7.315930375E0,7.250976562E0,-5.171203613E0,1.344757080E1
7.335919389E0,5.784606934E0,-5.171203613E0,1.130676270E1
7.355908402E0,6.980895996E0,-3.831481934E0,1.229400635E1
7.376263627E0,8.425903320E0,-3.126525879E0,1.228179932E1
7.395977982E0,6.256103516E0,-4.530334473E0,1.230316162E1
7.415936478E0,7.731628418E0,-1.742553711E0,1.369323730E1
7.435894974E0,8.454895020E0,-2.438354492E0,1.441650391E1
7.455853471E0,7.032775879E0,-2.450561523E0,1.584625244E1
7.475842484E0,5.569458008E0,-1.753234863E0,1.369628906E1
7.495831498E0,9.176635742E0,-2.433776855E0,1.441497803E1
