"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.499896236E2,5.233210866E1,4.868761560E0,-4.312976074E0,1.059999943E0,1.230999985E2,6.003200150E1,0.000000000E0
1.509934217E2,5.233210334E1,4.868779270E0,-4.309741211E0,1.059999943E0,1.175999985E2,6.003200150E1,0.000000000E0
1.520028071E2,5.233209830E1,4.868795870E0,-4.306567383E0,1.070000052E0,1.196999969E2,6.003200150E1,0.000000000E0
1.529903975E2,5.233209388E1,4.868812020E0,-4.303393555E0,1.070000052E0,1.144000015E2,6.003200150E1,0.000000000E0
1.539864809E2,5.233209118E1,4.868828740E0,-4.300158691E0,1.179999948E0,1.054000015E2,6.003200150E1,0.000000000E0
1.549896403E2,5.233208897E1,4.868845420E0,-4.296984863E0,1.190000057E0,1.054000015E2,6.003200150E1,0.000000000E0
1.560099306E2,5.233209150E1,4.868861380E0,-4.293750000E0,1.190000057E0,6.480000305E1,6.003200150E1,0.000000000E0
1.569934855E2,5.233210102E1,4.868868760E0,-4.290576172E0,1.190000057E0,1.539999962E1,6.003200150E1,0.000000000E0
1.579955907E2,5.233210749E1,4.868857080E0,-4.310534668E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.589879724E2,5.233210836E1,4.868850180E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.599889723E2,5.233210862E1,4.868846910E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.609917075E2,5.233210878E1,4.868844960E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.619860657E2,5.233210884E1,4.868843960E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.629890161E2,5.233210807E1,4.868846010E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.639893935E2,5.233210768E1,4.868847030E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.649919382E2,5.233210748E1,4.868847540E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.659885719E2,5.233210739E1,4.868847800E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.669882226E2,5.233210734E1,4.868847920E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.679874023E2,5.233210731E1,4.868847990E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.689916928E2,5.233210730E1,4.868848020E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.699873202E2,5.233210730E1,4.868848040E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.709890963E2,5.233210729E1,4.868848040E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.719913007E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.729956900E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.739974568E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.749898440E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.759880398E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.769920601E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.779962701E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.789872919E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.799942897E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.809915867E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.819941690E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.829944691E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.839933730E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.849957776E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.860012551E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.869853172E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.879945693E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.889875618E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.899969843E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.909953803E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.919858148E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.929932206E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.939983486E2,5.233210729E1,4.868848050E0,-4.289172363E0,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
2.399953676E2,5.233249195E1,4.869089050E0,5.140502930E-1,1.340000033E0,2.651000061E2,5.896000290E1,0.000000000E0
2.409893011E2,5.233249134E1,4.869069180E0,5.239990234E-1,1.340000033E0,2.667999878E2,5.896000290E1,0.000000000E0
2.419868090E2,5.233249039E1,4.869049880E0,5.337036133E-1,1.350000024E0,2.600000000E2,5.896000290E1,0.000000000E0
2.429886301E2,5.233248870E1,4.869031090E0,5.431030273E-1,1.340000033E0,2.568999939E2,5.896000290E1,0.000000000E0
2.439918933E2,5.233248618E1,4.869012820E0,5.521972656E-1,1.350000024E0,2.526000061E2,5.896000290E1,0.000000000E0
