sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416891905601024,229.0
light,smartphone,1529416892108359168,400.0
light,smartphone,1529416892311301120,382.0
light,smartphone,1529416892514060032,281.0
light,smartphone,1529416892716909824,215.0
light,smartphone,1529416892919791104,231.0
light,smartphone,1529416893122611200,247.0
light,smartphone,1529416893325460992,295.0
light,smartphone,1529416893528250880,253.0
light,smartphone,1529416893731467008,162.0
light,smartphone,1529416893933981952,185.0
light,smartphone,1529416894136802048,318.0
light,smartphone,1529416894339683072,345.0
light,smartphone,1529416894542532864,206.0
light,smartphone,1529416894745505024,236.0
light,smartphone,1529416894948203008,249.0
light,smartphone,1529416895151022848,555.0
light,smartphone,1529416895353873152,559.0
light,smartphone,1529416895556724224,349.0
light,smartphone,1529416895759604992,491.0
light,smartphone,1529416895962394112,538.0
light,smartphone,1529416896165671168,1098.0
light,smartphone,1529416896368094976,1122.0
light,smartphone,1529416896570914048,684.0
light,smartphone,1529416896773794816,888.0
light,smartphone,1529416896976584960,773.0
light,smartphone,1529416897179678976,1226.0
light,smartphone,1529416897382316288,847.0
light,smartphone,1529416897585166080,698.0
light,smartphone,1529416897787986176,693.0
light,smartphone,1529416897990855936,820.0
light,smartphone,1529416898193705984,1200.0
light,smartphone,1529416898396495104,1036.0
light,smartphone,1529416898599345920,555.0
light,smartphone,1529416898802226944,664.0
light,smartphone,1529416899005046016,865.0
light,smartphone,1529416899207897088,1080.0
light,smartphone,1529416899410747136,755.0
light,smartphone,1529416899613872128,642.0
light,smartphone,1529416899816448000,631.0
light,smartphone,1529416900019329024,605.0
light,smartphone,1529416900222147840,482.0
light,smartphone,1529416900424998912,486.0
light,smartphone,1529416900627909888,244.0
light,smartphone,1529416900830699008,248.0
light,smartphone,1529416901033977088,337.0
light,smartphone,1529416901236399872,384.0
light,smartphone,1529416901439250944,227.0
light,smartphone,1529416901642162176,345.0
light,smartphone,1529416901844951040,450.0
light,smartphone,1529416902048015104,901.0
light,smartphone,1529416902250652160,893.0
light,smartphone,1529416902453501952,586.0
light,smartphone,1529416902656352000,568.0
light,smartphone,1529416902859203072,540.0
light,smartphone,1529416903062052864,711.0
light,smartphone,1529416903264872960,604.0
light,smartphone,1529416903468151040,405.0
light,smartphone,1529416903670574080,387.0
light,smartphone,1529416903873424128,638.0
light,smartphone,1529416904076244224,771.0
light,smartphone,1529416904279094016,366.0
light,smartphone,1529416904482219008,398.0
light,smartphone,1529416904684734208,303.0
light,smartphone,1529416904887584000,276.0
light,smartphone,1529416905090496000,238.0
light,smartphone,1529416905293253888,221.0
light,smartphone,1529416905496227072,161.0
light,smartphone,1529416905698955008,143.0
light,smartphone,1529416905901805056,206.0
light,smartphone,1529416906104594944,180.0
light,smartphone,1529416906307444992,110.0
light,smartphone,1529416906510326016,153.0
light,smartphone,1529416906713114880,194.0
light,smartphone,1529416906916361984,373.0
light,smartphone,1529416907118785024,280.0
light,smartphone,1529416907321636096,263.0
light,smartphone,1529416907524486144,334.0
light,smartphone,1529416907727305984,504.0
light,smartphone,1529416907930366976,748.0
light,smartphone,1529416908132972800,529.0
light,smartphone,1529416908336585984,400.0
light,smartphone,1529416908538674176,404.0
light,smartphone,1529416908741492992,565.0
light,smartphone,1529416908944374016,636.0
light,smartphone,1529416909147133184,394.0
