"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.940238531E2,5.233286620E1,4.868511140E0,3.179211426E0,1.570000052E0,1.700000048E0,1.179199982E1,0.000000000E0
1.950126193E2,5.233290499E1,4.868511810E0,3.111523437E0,1.659999967E0,3.582999878E2,1.179199982E1,0.000000000E0
1.960189266E2,5.233294842E1,4.868513390E0,2.476269531E0,1.850000024E0,3.588999939E2,1.179199982E1,0.000000000E0
1.970136620E2,5.233299444E1,4.868515020E0,3.740795898E0,2.230000019E0,5.400000095E0,1.179199982E1,0.000000000E0
1.980222238E2,5.233304501E1,4.868516470E0,4.686413574E0,2.730000019E0,7.000000000E0,1.179199982E1,0.000000000E0
1.990213933E2,5.233309413E1,4.868521740E0,6.270031738E0,2.970000029E0,1.039999962E1,1.179199982E1,0.000000000E0
2.000156458E2,5.233314827E1,4.868530140E0,7.371533203E0,3.309999943E0,1.160000038E1,1.179199982E1,0.000000000E0
2.010236998E2,5.233320364E1,4.868543120E0,6.853588867E0,3.430000067E0,1.060000038E1,1.179199982E1,0.000000000E0
2.020144823E2,5.233326499E1,4.868553540E0,7.024487305E0,4.139999866E0,8.600000381E0,1.179199982E1,0.000000000E0
2.030114962E2,5.233335117E1,4.868560730E0,6.867993164E0,9.050000191E0,3.799999952E0,1.179199982E1,0.000000000E0
2.040121528E2,5.233345370E1,4.868557000E0,8.279187012E0,8.670000076E0,3.000000119E-1,1.179199982E1,0.000000000E0
2.050113320E2,5.233354568E1,4.868552980E0,8.563549805E0,8.050000191E0,1.360000038E1,1.179199982E1,0.000000000E0
2.060140161E2,5.233361510E1,4.868550380E0,9.102917480E0,6.900000095E0,6.500000000E0,1.179199982E1,0.000000000E0
2.070094452E2,5.233367288E1,4.868553920E0,9.883007812E0,6.300000191E0,1.380000019E1,1.179199982E1,0.000000000E0
2.080101275E2,5.233371691E1,4.868565320E0,8.644970703E0,5.849999905E0,1.850000000E1,1.179199982E1,0.000000000E0
2.090091065E2,5.233375501E1,4.868573450E0,7.423657227E0,5.460000038E0,1.439999962E1,1.179199982E1,0.000000000E0
2.100076963E2,5.233378995E1,4.868566990E0,7.104077148E0,5.070000172E0,4.599999905E0,1.286400032E1,0.000000000E0
2.110152722E2,5.233382138E1,4.868538710E0,7.124279785E0,4.639999866E0,3.467000122E2,1.286400032E1,0.000000000E0
