sensor_type,device_type,timestamps,illuminance
light,smartphone,1529417983723802880,35.0
light,smartphone,1529417983926621952,24.0
light,smartphone,1529417984129899776,5.0
light,smartphone,1529417984332384000,1.0
light,smartphone,1529417984535234816,0.0
light,smartphone,1529417984738106880,1.0
light,smartphone,1529417984940956928,2.0
light,smartphone,1529417985144020992,1.0
light,smartphone,1529417985346689024,2.0
light,smartphone,1529417985549568768,1.0
light,smartphone,1529417985752450048,0.0
light,smartphone,1529417985955331072,15.0
light,smartphone,1529417986158211840,16.0
light,smartphone,1529417986361031936,7.0
light,smartphone,1529417986564187136,0.0
light,smartphone,1529417986766732032,2.0
light,smartphone,1529417986969613056,1.0
light,smartphone,1529417987172493824,6.0
light,smartphone,1529417987375344896,15.0
light,smartphone,1529417987578377984,11.0
light,smartphone,1529417987781044992,3.0
light,smartphone,1529417987983926016,10.0
light,smartphone,1529417988186777088,3.0
light,smartphone,1529417988389657088,5.0
light,smartphone,1529417988998452992,14.0
light,smartphone,1529417989201120000,26.0
light,smartphone,1529417989404001024,24.0
light,smartphone,1529417989606851072,29.0
light,smartphone,1529417989809731840,24.0
light,smartphone,1529417990012613120,11.0
light,smartphone,1529417990215462912,1.0
light,smartphone,1529417990824075008,2.0
light,smartphone,1529417991026925056,3.0
light,smartphone,1529417991229775872,2.0
light,smartphone,1529417991432748032,0.0
light,smartphone,1529417991838356992,1.0
light,smartphone,1529417992244088832,3.0
light,smartphone,1529417992649789184,1.0
light,smartphone,1529417993461282048,2.0
light,smartphone,1529417993867012864,1.0
light,smartphone,1529417995489893888,8.0
light,smartphone,1529417995692774912,12.0
light,smartphone,1529417995895655936,5.0
light,smartphone,1529417996098505984,19.0
light,smartphone,1529417996504206848,14.0
light,smartphone,1529417996707422976,6.0
light,smartphone,1529417996909968128,1.0
light,smartphone,1529417997518519040,0.0
light,smartphone,1529417997721552896,1.0
light,smartphone,1529417997924219904,2.0
light,smartphone,1529417998127100928,3.0
light,smartphone,1529417998329981952,6.0
light,smartphone,1529417998532831744,5.0
light,smartphone,1529417998735743232,0.0
light,smartphone,1529417998938563072,1.0
light,smartphone,1529417999141688064,3.0
light,smartphone,1529417999344263936,5.0
light,smartphone,1529417999547113984,3.0
light,smartphone,1529417999749994752,1.0
light,smartphone,1529418000358576896,2.0
light,smartphone,1529418000561426944,5.0
light,smartphone,1529418000764307968,3.0
light,smartphone,1529418000967158016,2.0
light,smartphone,1529418001170069760,1.0
light,smartphone,1529418001372889088,2.0
light,smartphone,1529418001575953152,3.0
light,smartphone,1529418001778589952,12.0
light,smartphone,1529418001981470976,10.0
light,smartphone,1529418002184321024,12.0
light,smartphone,1529418002387171840,21.0
light,smartphone,1529418002590143744,55.0
light,smartphone,1529418002792872192,48.0
light,smartphone,1529418002995723008,17.0
light,smartphone,1529418003198603008,11.0
light,smartphone,1529418003401453824,5.0
light,smartphone,1529418003604334848,2.0
light,smartphone,1529418003807154176,1.0
light,smartphone,1529418004415735808,3.0
light,smartphone,1529418004821541888,1.0
light,smartphone,1529418005227180800,0.0
light,smartphone,1529418005430490112,1.0
light,smartphone,1529418005632913152,2.0
light,smartphone,1529418005835762944,3.0
light,smartphone,1529418006038643968,2.0
light,smartphone,1529418006241494016,1.0
light,smartphone,1529418006444557824,0.0
light,smartphone,1529418006647469056,1.0
light,smartphone,1529418006850105856,3.0
light,smartphone,1529418007052956928,6.0
light,smartphone,1529418007255806976,2.0
light,smartphone,1529418007458688000,1.0
light,smartphone,1529418007864723968,0.0
light,smartphone,1529418008067269120,1.0
light,smartphone,1529418008270088960,0.0
light,smartphone,1529418008675820032,1.0
light,smartphone,1529418008878822912,3.0
light,smartphone,1529418009081490944,15.0
light,smartphone,1529418009284370944,2.0
light,smartphone,1529418009487222016,5.0
light,smartphone,1529418009690072064,6.0
light,smartphone,1529418009892921856,3.0
light,smartphone,1529418010299020032,1.0
light,smartphone,1529418010704324096,0.0
light,smartphone,1529418011313088000,1.0
light,smartphone,1529418011515724800,3.0
light,smartphone,1529418011718606080,8.0
light,smartphone,1529418011921456128,3.0
light,smartphone,1529418012124429056,1.0
light,smartphone,1529418012327217920,0.0
light,smartphone,1529418012530006784,2.0
light,smartphone,1529418012733284864,3.0
light,smartphone,1529418013138618880,1.0
light,smartphone,1529418013544320000,0.0
light,smartphone,1529418013747354112,1.0
light,smartphone,1529418013949989888,7.0
light,smartphone,1529418014152840960,14.0
light,smartphone,1529418014355720960,2.0
light,smartphone,1529418014558538752,8.0
light,smartphone,1529418014761449984,11.0
light,smartphone,1529418014964239872,8.0
light,smartphone,1529418015167119872,5.0
light,smartphone,1529418015369939968,14.0
light,smartphone,1529418015775702016,2.0
light,smartphone,1529418015978521856,5.0
light,smartphone,1529418016181615872,10.0
light,smartphone,1529418016587102720,2.0
light,smartphone,1529418016789922816,5.0
light,smartphone,1529418016992772864,3.0
light,smartphone,1529418017195745792,1.0
light,smartphone,1529418018007055872,3.0
light,smartphone,1529418018412755968,5.0
light,smartphone,1529418018615911936,2.0
light,smartphone,1529418018818456832,0.0
light,smartphone,1529418019224187904,1.0
light,smartphone,1529418019427007744,2.0
light,smartphone,1529418019629979904,3.0
light,smartphone,1529418020035558912,1.0
light,smartphone,1529418020846990848,2.0
light,smartphone,1529418021050208000,6.0
light,smartphone,1529418021252660992,1.0
light,smartphone,1529418021861242880,0.0
light,smartphone,1529418022064275968,1.0
light,smartphone,1529418022469794048,0.0
light,smartphone,1529418022672643840,11.0
light,smartphone,1529418022875493888,14.0
light,smartphone,1529418023078344960,19.0
light,smartphone,1529418023281164800,16.0
light,smartphone,1529418023484472832,19.0
light,smartphone,1529418023686895872,14.0
light,smartphone,1529418023889745920,2.0
light,smartphone,1529418024092626944,3.0
light,smartphone,1529418024295447040,1.0
light,smartphone,1529418024498541056,0.0
light,smartphone,1529418024904014080,2.0
light,smartphone,1529418025106895104,0.0
light,smartphone,1529418025309715200,2.0
light,smartphone,1529418025512595968,10.0
light,smartphone,1529418025715446016,14.0
light,smartphone,1529418025918296064,3.0
light,smartphone,1529418026121146880,1.0
light,smartphone,1529418026526846976,2.0
light,smartphone,1529418026729698048,3.0
light,smartphone,1529418027135459072,1.0
light,smartphone,1529418027541160192,0.0
light,smartphone,1529418027744040960,2.0
light,smartphone,1529418028149741824,1.0
light,smartphone,1529418028758292992,0.0
light,smartphone,1529418028961174016,11.0
light,smartphone,1529418029164024064,7.0
light,smartphone,1529418029367057152,6.0
light,smartphone,1529418029569725184,2.0
light,smartphone,1529418029772574976,6.0
light,smartphone,1529418029975425024,19.0
light,smartphone,1529418030178276096,6.0
light,smartphone,1529418030381125888,26.0
light,smartphone,1529418030583976192,11.0
light,smartphone,1529418030786796032,3.0
light,smartphone,1529418030989677056,1.0
light,smartphone,1529418031598227968,3.0
light,smartphone,1529418031801383168,1.0
light,smartphone,1529418032612540928,0.0
light,smartphone,1529418032815422208,1.0
light,smartphone,1529418033018241024,0.0
light,smartphone,1529418033221550080,1.0
light,smartphone,1529418033424034304,2.0
light,smartphone,1529418033626884096,3.0
light,smartphone,1529418033829794816,1.0
light,smartphone,1529418034235618048,0.0
light,smartphone,1529418034438376960,1.0
light,smartphone,1529418034641238016,3.0
light,smartphone,1529418034844119040,5.0
light,smartphone,1529418035047048192,0.0
light,smartphone,1529418035249928960,1.0
light,smartphone,1529418035452809984,0.0
light,smartphone,1529418035655812096,1.0
light,smartphone,1529418036264240896,0.0
light,smartphone,1529418036467122176,10.0
light,smartphone,1529418036670033920,7.0
light,smartphone,1529418036872823040,5.0
light,smartphone,1529418037075977984,8.0
light,smartphone,1529418037278553856,24.0
light,smartphone,1529418037481435136,19.0
light,smartphone,1529418037684284928,2.0
light,smartphone,1529418037887136000,5.0
light,smartphone,1529418038090107904,7.0
light,smartphone,1529418038292866816,1.0
light,smartphone,1529418038495717120,0.0
light,smartphone,1529418038698597888,1.0
light,smartphone,1529418038901447936,0.0
light,smartphone,1529418039307180032,1.0
light,smartphone,1529418039510274048,5.0
light,smartphone,1529418039712879872,2.0
light,smartphone,1529418040118673152,0.0
light,smartphone,1529418040321522944,1.0
light,smartphone,1529418040524403968,5.0
light,smartphone,1529418040930470912,3.0
light,smartphone,1529418041132893952,0.0
light,smartphone,1529418041538594048,1.0
light,smartphone,1529418041741445120,2.0
light,smartphone,1529418041944508928,10.0
light,smartphone,1529418042147144960,12.0
light,smartphone,1529418042350025984,5.0
light,smartphone,1529418042552845824,6.0
light,smartphone,1529418042755696128,1.0
light,smartphone,1529418042958576896,3.0
light,smartphone,1529418043364248064,5.0
light,smartphone,1529418043567159040,12.0
light,smartphone,1529418043769978880,26.0
light,smartphone,1529418043972829184,20.0
light,smartphone,1529418044175678976,12.0
light,smartphone,1529418044378774016,29.0
light,smartphone,1529418044581364992,17.0
light,smartphone,1529418044784184832,6.0
light,smartphone,1529418044987065088,1.0
light,smartphone,1529418045189884928,0.0
