_id,statusId,sensorName,accuracy,value,timestamp
3460,4,"AK09911 Magnetometer",3,"[3.8986206,12.8463745,38.311768]",1528171724454
3478,4,"AK09911 Magnetometer",3,"[3.9031982,12.147522,39.035034]",1528171724473
3496,4,"AK09911 Magnetometer",3,"[3.1906128,10.745239,40.483093]",1528171724494
3514,4,"AK09911 Magnetometer",3,"[-0.7888794,17.425537,34.1568]",1528171724513
3534,4,"AK09911 Magnetometer",3,"[1.348877,16.744995,32.73468]",1528171724534
3552,4,"AK09911 Magnetometer",3,"[-0.077819824,16.036987,34.17511]",1528171724554
3570,4,"AK09911 Magnetometer",3,"[-0.091552734,16.738892,32.736206]",1528171724573
3588,4,"AK09911 Magnetometer",3,"[-1.5396118,13.941956,33.48999]",1528171724594
3606,4,"AK09911 Magnetometer",3,"[-0.09918213,13.949585,33.488464]",1528171724614
3624,4,"AK09911 Magnetometer",3,"[-0.09918213,13.949585,33.488464]",1528171724633
3642,4,"AK09911 Magnetometer",3,"[-0.80566406,13.244629,34.92737]",1528171724653
3660,4,"AK09911 Magnetometer",3,"[-9.353638,22.735596,32.522583]",1528171724674
3680,4,"AK09911 Magnetometer",3,"[-8.662415,20.655823,31.121826]",1528171724693
3698,4,"AK09911 Magnetometer",3,"[-8.61969,22.038269,33.95996]",1528171724713
3716,4,"AK09911 Magnetometer",3,"[-10.810852,21.33789,31.829834]",1528171724734
3734,4,"AK09911 Magnetometer",3,"[-8.633423,22.740173,32.522583]",1528171724785
3752,4,"AK09911 Magnetometer",3,"[-8.641052,22.7417,31.808472]",1528171724806
3770,4,"AK09911 Magnetometer",3,"[-7.2006226,22.749329,31.80542]",1528171724825
3788,4,"AK09911 Magnetometer",3,"[-5.7907104,20.672607,30.403137]",1528171724846
3806,4,"AK09911 Magnetometer",3,"[-7.2265625,21.362305,30.395508]",1528171724865
3826,4,"AK09911 Magnetometer",3,"[-5.039978,24.156189,31.069946]",1528171724886
3844,4,"AK09911 Magnetometer",3,"[-6.47583,22.055054,32.528687]",1528171724906
3862,4,"AK09911 Magnetometer",3,"[-6.4941406,23.454285,30.366516]",1528171724925
3880,4,"AK09911 Magnetometer",3,"[-5.0613403,22.068787,30.3833]",1528171724946
3898,4,"AK09911 Magnetometer",3,"[-6.4849854,22.05658,31.814575]",1528171724965
3916,4,"AK09911 Magnetometer",3,"[-5.0567627,21.369934,31.108093]",1528171724986
3934,4,"AK09911 Magnetometer",3,"[-6.4804077,22.753906,31.80542]",1528171725005
3952,4,"AK09911 Magnetometer",3,"[-6.5109253,20.669556,30.404663]",1528171725025
3972,4,"AK09911 Magnetometer",3,"[-5.769348,21.36383,31.822205]",1528171725046
3990,4,"AK09911 Magnetometer",3,"[-6.4849854,22.05658,31.814575]",1528171725065
4008,4,"AK09911 Magnetometer",3,"[-7.183838,22.744751,33.23517]",1528171725086
4026,4,"AK09911 Magnetometer",3,"[6.982422,26.739502,28.89862]",1528171725105
4044,4,"AK09911 Magnetometer",3,"[6.2973022,28.121948,31.02417]",1528171725125
4062,4,"AK09911 Magnetometer",3,"[8.453369,27.435303,31.030273]",1528171725145
4081,4,"AK09911 Magnetometer",3,"[7.7163696,26.042175,30.335999]",1528171725165
4099,4,"AK09911 Magnetometer",3,"[7.0007324,26.734924,30.326843]",1528171725185
4119,4,"AK09911 Magnetometer",3,"[7.0007324,26.734924,30.326843]",1528171725205
4137,4,"AK09911 Magnetometer",3,"[7.711792,28.135681,28.878784]",1528171725226
4155,4,"AK09911 Magnetometer",3,"[8.432007,26.74408,29.611206]",1528171725246
4173,4,"AK09911 Magnetometer",3,"[7.7072144,27.43988,28.88794]",1528171725265
4191,4,"AK09911 Magnetometer",3,"[8.436584,30.230713,28.135681]",1528171725285
4209,4,"AK09911 Magnetometer",3,"[8.444214,28.833008,29.58374]",1528171725305
4227,4,"AK09911 Magnetometer",3,"[9.143066,28.144836,28.163147]",1528171725325
4245,4,"AK09911 Magnetometer",3,"[7.003784,28.826904,29.585266]",1528171725345
4263,4,"AK09911 Magnetometer",3,"[7.7285767,30.921936,28.842163]",1528171725365
4283,4,"AK09911 Magnetometer",3,"[5.567932,28.120422,30.310059]",1528171725385
4301,4,"AK09911 Magnetometer",3,"[6.2973022,30.911255,29.5578]",1528171725405
4319,4,"AK09911 Magnetometer",3,"[7.7331543,31.617737,28.833008]",1528171725425
4337,4,"AK09911 Magnetometer",3,"[4.9835205,17.141724,36.16028]",1528171725446
4355,4,"AK09911 Magnetometer",3,"[5.708313,17.842102,36.149597]",1528171725465
4373,4,"AK09911 Magnetometer",3,"[5.7159424,19.23523,36.131287]",1528171725485
4391,4,"AK09911 Magnetometer",3,"[5.004883,22.018433,35.380554]",1528171725505
4409,4,"AK09911 Magnetometer",3,"[5.7113647,21.328735,34.674072]",1528171725525
4429,4,"AK09911 Magnetometer",3,"[5.7113647,22.723389,33.94165]",1528171725546
4447,4,"AK09911 Magnetometer",3,"[7.168579,24.121094,34.6344]",1528171725565
4465,4,"AK09911 Magnetometer",3,"[7.156372,23.428345,33.929443]",1528171725585
4483,4,"AK09911 Magnetometer",3,"[6.4315796,25.517273,32.473755]",1528171725604
4501,4,"AK09911 Magnetometer",3,"[6.4178467,26.219177,31.036377]",1528171725625
4519,4,"AK09911 Magnetometer",3,"[8.570862,24.836731,31.051636]",1528171725645
4537,4,"AK09911 Magnetometer",3,"[7.8720093,25.524902,32.47223]",1528171725665
4555,4,"AK09911 Magnetometer",3,"[7.1517944,28.312683,31.007385]",1528171725685
4575,4,"AK09911 Magnetometer",3,"[8.578491,29.02069,29.566956]",1528171725705
4593,4,"AK09911 Magnetometer",3,"[8.5876465,29.019165,30.281067]",1528171725725
4611,4,"AK09911 Magnetometer",3,"[9.307861,30.41687,29.54712]",1528171725745
4629,4,"AK09911 Magnetometer",3,"[9.307861,30.41687,29.54712]",1528171725765
4647,4,"AK09911 Magnetometer",3,"[8.210754,28.15094,31.091309]",1528171725785
4665,4,"AK09911 Magnetometer",3,"[7.5164795,29.536438,32.502747]",1528171725805
4683,4,"AK09911 Magnetometer",3,"[8.959961,33.0307,31.025696]",1528171725825
4701,4,"AK09911 Magnetometer",3,"[9.637451,31.651306,28.186035]",1528171725844
4721,4,"AK09911 Magnetometer",3,"[8.943176,33.03528,29.595947]",1528171725865
4739,4,"AK09911 Magnetometer",3,"[9.663391,33.03833,29.595947]",1528171725885
4757,4,"AK09911 Magnetometer",3,"[10.357666,33.04901,27.452087]",1528171725904
4775,4,"AK09911 Magnetometer",3,"[9.642029,33.74176,27.442932]",1528171725925
4793,4,"AK09911 Magnetometer",3,"[10.374451,34.440613,28.147888]",1528171725945
4811,4,"AK09911 Magnetometer",3,"[10.357666,33.04901,27.452087]",1528171725965
4829,4,"AK09911 Magnetometer",3,"[11.073303,36.543274,25.260925]",1528171725984
4847,4,"AK09911 Magnetometer",3,"[9.628296,35.838318,25.271606]",1528171726005
4867,4,"AK09911 Magnetometer",3,"[11.068726,37.242126,24.537659]",1528171726025
4885,4,"AK09911 Magnetometer",3,"[13.217163,35.16388,24.562073]",1528171726045
4903,4,"AK09911 Magnetometer",3,"[12.852478,35.8078,23.460388]",1528171726065
4921,4,"AK09911 Magnetometer",3,"[12.101746,33.720398,22.059631]",1528171726085
4939,4,"AK09911 Magnetometer",3,"[13.127136,35.2005,21.50879]",1528171726105
4957,4,"AK09911 Magnetometer",3,"[11.691284,39.949036,22.645569]",1528171726125
4975,4,"AK09911 Magnetometer",3,"[14.541626,39.274597,20.509338]",1528171726144
4993,4,"AK09911 Magnetometer",3,"[14.527893,39.9765,19.070435]",1528171726165
5011,4,"AK09911 Magnetometer",3,"[14.529419,38.580322,19.804382]",1528171726185
5031,4,"AK09911 Magnetometer",3,"[14.546204,39.971924,20.498657]",1528171726205
5049,4,"AK09911 Magnetometer",3,"[14.527893,39.9765,19.070435]",1528171726224
5067,4,"AK09911 Magnetometer",3,"[13.830566,39.268494,21.22345]",1528171726245
5085,4,"AK09911 Magnetometer",3,"[13.092041,40.664673,19.062805]",1528171726264
5103,4,"AK09911 Magnetometer",3,"[13.804626,39.276123,19.081116]",1528171726285
5121,4,"AK09911 Magnetometer",3,"[15.266418,39.974976,20.498657]",1528171726304
5139,4,"AK09911 Magnetometer",3,"[13.790894,38.58185,18.37616]",1528171726325
5157,4,"AK09911 Magnetometer",3,"[15.9729,40.67993,19.059753]",1528171726345
5177,4,"AK09911 Magnetometer",3,"[13.101196,40.663147,19.776917]",1528171726365
5195,4,"AK09911 Magnetometer",3,"[11.009216,38.61847,20.533752]",1528171726384
5213,4,"AK09911 Magnetometer",3,"[11.750793,40.708923,21.218872]",1528171726404
5231,4,"AK09911 Magnetometer",3,"[11.734009,39.318848,20.523071]",1528171726424
5249,4,"AK09911 Magnetometer",3,"[11.569214,43.634033,15.884399]",1528171726445
5267,4,"AK09911 Magnetometer",3,"[13.7161255,41.555786,15.908813]",1528171726465
5285,4,"AK09911 Magnetometer",3,"[10.835266,41.540527,15.913391]",1528171726484
5303,4,"AK09911 Magnetometer",3,"[11.585999,42.234802,18.045044]",1528171726504
5323,4,"AK09911 Magnetometer",3,"[10.865784,42.230225,18.04657]",1528171726524
5341,4,"AK09911 Magnetometer",3,"[10.856628,43.62793,16.59851]",1528171726545
5359,4,"AK09911 Magnetometer",3,"[10.128784,40.837097,17.352295]",1528171726565
5377,4,"AK09911 Magnetometer",3,"[11.604309,40.834045,20.207214]",1528171726585
5395,4,"AK09911 Magnetometer",3,"[8.709717,41.52069,18.772888]",1528171726604
5413,4,"AK09911 Magnetometer",3,"[9.429932,40.12909,19.50531]",1528171726624
5431,4,"AK09911 Magnetometer",3,"[8.006287,41.511536,20.202637]",1528171726644
5449,4,"AK09911 Magnetometer",3,"[8.02002,40.811157,21.64154]",1528171726665
5469,4,"AK09911 Magnetometer",3,"[8.015442,40.11383,21.650696]",1528171726684
5487,4,"AK09911 Magnetometer",3,"[8.31604,39.935303,21.110535]",1528171726705
5505,4,"AK09911 Magnetometer",3,"[9.049988,40.63263,21.813965]",1528171726724
5523,4,"AK09911 Magnetometer",3,"[11.206055,38.55133,22.554016]",1528171726744
5541,4,"AK09911 Magnetometer",3,"[9.753418,36.454773,22.584534]",1528171726765
5559,4,"AK09911 Magnetometer",3,"[5.5099487,40.85388,22.547913]",1528171726784
5577,4,"AK09911 Magnetometer",3,"[6.9335938,40.86609,21.118164]",1528171726805
