"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.211608890E-1,-2.799530029E-1,-7.355346680E-1,2.987823486E-1
7.236022950E-1,-2.469329834E-1,-8.079833984E-1,2.689666748E-1
7.260742190E-1,-2.064514160E-1,-8.782806396E-1,2.465972900E-1
7.285461430E-1,-1.702270508E-1,-9.421997070E-1,2.284851074E-1
7.309875490E-1,-1.446685791E-1,-1.003982544E0,2.103729248E-1
7.334594730E-1,-1.222991943E-1,-1.057250977E0,1.997222900E-1
7.359313970E-1,-1.031188965E-1,-1.104125977E0,1.986541748E-1
7.384033210E-1,-9.672546387E-2,-1.146728516E0,2.007904053E-1
7.408447270E-1,-9.246826172E-2,-1.180816650E0,2.061157227E-1
7.432861330E-1,-9.672546387E-2,-1.205322266E0,2.125091553E-1
7.457580570E-1,-1.052551270E-1,-1.224502563E0,2.252807617E-1
7.482299810E-1,-1.212310791E-1,-1.239410400E0,2.402038574E-1
7.506713870E-1,-1.403961182E-1,-1.252197266E0,2.636413574E-1
7.531433110E-1,-1.617126465E-1,-1.268173218E0,2.774810791E-1
7.556152350E-1,-1.872711182E-1,-1.278823853E0,2.987823486E-1
7.580871580E-1,-2.181701660E-1,-1.279891968E0,3.190307617E-1
7.605285650E-1,-2.458648682E-1,-1.288406372E0,3.360748291E-1
7.630004890E-1,-2.746276855E-1,-1.277755737E0,3.552551270E-1
7.654418950E-1,-3.087158203E-1,-1.256454468E0,3.701629639E-1
7.679138190E-1,-3.406677246E-1,-1.226623535E0,3.829498291E-1
7.703857420E-1,-3.726348877E-1,-1.182952881E0,3.925323486E-1
7.728271490E-1,-4.035186768E-1,-1.132888794E0,3.999938965E-1
7.752990720E-1,-4.301605225E-1,-1.077484131E0,4.021148682E-1
7.777709960E-1,-4.610443115E-1,-1.018905640E0,4.021148682E-1
7.802124030E-1,-4.887390137E-1,-9.507293701E-1,3.978576660E-1
7.826843260E-1,-5.175018311E-1,-8.857421875E-1,3.882751465E-1
7.851562500E-1,-5.430755615E-1,-8.164978027E-1,3.786773682E-1
7.875976560E-1,-5.665130615E-1,-7.472534180E-1,3.648376465E-1
7.900695800E-1,-5.888824463E-1,-6.726837158E-1,3.509826660E-1
7.925109870E-1,-6.048583984E-1,-6.034393311E-1,3.371429443E-1
7.949829100E-1,-6.176452637E-1,-5.373992920E-1,3.264923096E-1
7.974548340E-1,-6.272277832E-1,-4.788055420E-1,3.137054443E-1
7.998962400E-1,-6.314849854E-1,-4.234161377E-1,3.030548096E-1
8.023681640E-1,-6.325531006E-1,-3.776092529E-1,2.977294922E-1
8.048400880E-1,-6.314849854E-1,-3.264770508E-1,2.913360596E-1
8.072814940E-1,-6.655731201E-1,-2.274017334E-1,3.041229248E-1
8.097534180E-1,-7.145843506E-1,-1.102294922E-1,3.296813965E-1
8.121948240E-1,-7.614440918E-1,-1.571655273E-3,3.552551270E-1
8.146667480E-1,-7.955322266E-1,1.219940186E-1,3.872070312E-1
8.171386720E-1,-8.242950439E-1,2.732696533E-1,4.170379639E-1
8.195800780E-1,-8.541259766E-1,4.543609619E-1,4.436645508E-1
8.220520020E-1,-8.882141113E-1,6.290588379E-1,4.681701660E-1
8.245239260E-1,-9.297637939E-1,7.867279053E-1,4.862823486E-1
8.269653320E-1,-9.713134766E-1,9.284057617E-1,4.947967529E-1
8.294372560E-1,-1.019241333E0,1.065826416E0,4.937286377E-1
8.319091800E-1,-1.081024170E0,1.173416138E0,4.841461182E-1
8.343505860E-1,-1.138549805E0,1.142517090E0,4.617767334E-1
8.368225100E-1,-1.171569824E0,9.784698486E-1,4.276885986E-1
8.392944340E-1,-1.193954468E0,8.005676270E-1,3.808135986E-1
8.417358400E-1,-1.213119507E0,6.716766357E-1,3.211669922E-1
8.442077640E-1,-1.229095459E0,5.853881836E-1,2.583160400E-1
8.466491700E-1,-1.247207642E0,5.033569336E-1,1.816101074E-1
8.491210940E-1,-1.253601074E0,4.117584229E-1,1.070404053E-1
8.515930180E-1,-1.254669189E0,3.254699707E-1,2.607727051E-2
8.540344240E-1,-1.251464844E0,2.253265381E-1,-5.593872070E-2
8.565063480E-1,-1.229095459E0,1.262664795E-1,-1.369018555E-1
8.589782720E-1,-1.202468872E0,3.997802734E-2,-2.178649902E-1
8.614501960E-1,-1.174774170E0,-3.140258789E-2,-2.892303467E-1
8.639221190E-1,-1.140686035E0,-8.253479004E-2,-3.520812988E-1
8.663635260E-1,-1.092742920E0,-1.219482422E-1,-4.074859619E-1
8.688354490E-1,-1.043746948E0,-1.507110596E-1,-4.511566162E-1
8.713073730E-1,-9.851531982E-1,-1.741485596E-1,-4.873809814E-1
8.737487800E-1,-9.191131592E-1,-1.858673096E-1,-5.161437988E-1
8.762207030E-1,-8.402862549E-1,-1.741485596E-1,-5.374450684E-1
8.786926270E-1,-7.529296875E-1,-1.357879639E-1,-5.502319336E-1
8.811645510E-1,-6.581268311E-1,-7.827758789E-2,-5.608825684E-1
8.836059570E-1,-5.537261963E-1,1.014709473E-2,-5.640716553E-1
8.860778810E-1,-4.354858398E-1,1.156005859E-1,-5.704650879E-1
8.885192870E-1,-3.108367920E-1,2.295837402E-1,-5.757904053E-1
8.909912110E-1,-1.808776855E-1,3.414459229E-1,-5.875091553E-1
8.934631350E-1,-3.919982910E-2,4.468994141E-1,-5.981597900E-1
8.959045410E-1,1.014099121E-1,5.417175293E-1,-6.109466553E-1
8.983764650E-1,2.537536621E-1,6.290588379E-1,-6.226654053E-1
9.008483890E-1,4.103393555E-1,7.259979248E-1,-6.365203857E-1
9.033203130E-1,5.648040771E-1,8.336029053E-1,-6.514282227E-1
