"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.442342730E-1,9.748229980E-1,5.856369019E0,8.214614868E0
8.467061970E-1,8.742675781E-1,5.906646729E0,8.078155518E0
8.491781210E-1,7.737121582E-1,5.885101318E0,7.972808838E0
8.516195270E-1,6.659698486E-1,5.897079468E0,7.765701294E0
8.540609340E-1,5.881652832E-1,5.912628174E0,7.602905273E0
8.565328570E-1,4.971771240E-1,5.947357178E0,7.428131104E0
8.590047810E-1,4.504852295E-1,5.974884033E0,7.217437744E0
8.614461880E-1,4.660491943E-1,6.039520264E0,6.960052490E0
8.639181110E-1,5.199279785E-1,6.128112793E0,6.781692505E0
8.663900350E-1,5.223236084E-1,6.161636353E0,6.667968750E0
8.688619590E-1,6.312561035E-1,6.331619263E0,6.509948730E0
8.713033650E-1,7.641296387E-1,6.379501343E0,6.451293945E0
8.737752890E-1,9.113769531E-1,6.426193237E0,6.408187866E0
8.762166950E-1,1.013122559E0,6.544708252E0,6.339965820E0
8.786886190E-1,1.084960938E0,6.618927002E0,6.341156006E0
8.811605430E-1,1.153182983E0,6.675186157E0,6.324401855E0
8.836019490E-1,1.242965698E0,6.690750122E0,6.333969116E0
8.860738730E-1,1.353103638E0,6.694335938E0,6.366302490E0
8.885457970E-1,1.385421753E0,6.660827637E0,6.365097046E0
8.909872030E-1,1.429718018E0,6.645263672E0,6.386642456E0
8.934591270E-1,1.530273438E0,6.621322632E0,6.496780396E0
8.959310510E-1,1.520706177E0,6.530334473E0,6.609313965E0
8.983724570E-1,1.507537842E0,6.452529907E0,6.663177490E0
9.008443810E-1,1.495559692E0,6.404647827E0,6.828384399E0
9.032857870E-1,1.438095093E0,6.320846558E0,6.890625000E0
9.057577110E-1,1.414154053E0,6.250213623E0,7.004348755E0
9.082296350E-1,1.395004272E0,6.158035278E0,7.060607910E0
9.106710410E-1,1.365081787E0,6.105361938E0,7.140823364E0
9.131429650E-1,1.221420288E0,5.909042358E0,7.204269409E0
9.156148890E-1,6.861877441E-2,4.634124756E0,6.367492676E0
9.180562950E-1,-8.208312988E-1,3.761444092E0,5.668380737E0
9.205282190E-1,-5.634460449E-1,3.872772217E0,6.051452637E0
9.229696250E-1,-1.313018799E-1,4.057128906E0,6.775711060E0
9.254415490E-1,2.445983887E-1,4.249862671E0,7.453262329E0
9.279134730E-1,4.014129639E-1,4.324081421E0,7.678314209E0
9.303548790E-1,4.277496338E-1,4.316894531E0,7.600509644E0
9.328268030E-1,4.026031494E-1,4.370773315E0,7.274902344E0
9.352987270E-1,4.002075195E-1,4.459350586E0,7.030685425E0
9.377401330E-1,3.619079590E-1,4.421051025E0,7.085754395E0
9.402120570E-1,2.757110596E-1,4.124160767E0,7.386230469E0
9.426839810E-1,6.049194336E-1,4.227111816E0,7.760925293E0
